entry_id,is_relevant,feas_pa,feas_ka,feas_cr,feas_sr
4,No,,,,
9,No,,,,
14,No,,,,
19,,,,,
24,No,,,,
29,No,,,,
34,No,,,,
39,No,,,,
44,No,,,,
49,No,,,,
54,No,,,,
59,No,,,,
64,No,,,,
69,No,,,,
74,No,,,,
79,Yes,5,1,4,1
84,No,,,,
89,Yes,4,1,1,1
94,No,,,,
99,Yes,3,1,1,1
104,Yes,5,3,3,1
109,No,,,,
114,No,,,,
119,No,,,,
124,No,,,,
129,Yes,4,1,3,1
134,No,,,,
139,Yes,1,1,1,2
144,No,,,,
149,No,,,,
154,No,,,,
159,No,,,,
164,Yes,3,1,2,4
169,Yes,1,1,1,3
174,No,,,,
179,Yes,2,1,3,1
184,No,,,,
189,No,,,,
194,Yes,3,1,1,1
199,Yes,2,1,4,1
204,No,,,,
209,No,,,,
214,No,,,,
219,No,,,,
224,No,,,,
229,No,,,,
234,No,,,,
239,No,,,,
244,No,,,,
249,No,,,,
254,No,,,,
259,No,,,,
264,No,,,,
269,No,,,,
274,No,,,,
279,No,,,,
284,No,,,,
289,Yes,4,3,1,1
294,No,,,,
299,Yes,4,3,1,1
304,No,,,,
309,No,,,,
314,No,,,,
319,No,,,,
324,No,,,,
329,No,,,,
334,No,,,,
339,Yes,1,1,1,1
344,Yes,1,1,1,3
349,No,,,,
354,No,,,,
359,No,,,,
364,Yes,3,2,1,1
369,No,,,,
374,No,,,,
379,No,,,,
384,No,,,,
389,Yes,1,1,1,1
394,No,,,,
399,No,,,,
404,No,,,,
409,Yes,3,1,1,1
414,No,,,,
419,No,,,,
424,No,,,,
429,No,,,,
434,No,,,,
439,Yes,3,1,5,1
444,No,,,,
449,No,,,,
454,,,,,
459,,,,,
464,,,,,
469,,,,,
474,,,,,
479,,,,,
484,,,,,
489,,,,,
494,,,,,
499,,,,,
504,,,,,
509,,,,,
514,,,,,
519,,,,,
524,,,,,
529,,,,,
534,,,,,
539,,,,,
544,,,,,
549,,,,,
554,,,,,
559,,,,,
564,,,,,
569,,,,,
574,,,,,
579,,,,,
584,,,,,
589,,,,,
594,,,,,
599,,,,,
604,,,,,
609,,,,,
614,,,,,
619,,,,,
624,,,,,
629,,,,,
634,,,,,
639,,,,,
644,,,,,
649,,,,,
654,,,,,
659,,,,,
664,,,,,
669,,,,,
674,,,,,
679,,,,,
684,,,,,
689,,,,,
694,,,,,
699,,,,,
704,,,,,
709,,,,,
714,,,,,
719,,,,,
724,,,,,
729,,,,,
734,,,,,
739,,,,,
744,,,,,
749,,,,,
754,,,,,
759,,,,,
764,,,,,
769,,,,,
774,,,,,
779,,,,,
784,,,,,
789,,,,,
794,,,,,
799,,,,,
804,,,,,
809,,,,,
814,,,,,
819,,,,,
824,,,,,
829,,,,,
834,,,,,
839,,,,,
844,,,,,
849,,,,,
854,,,,,
859,,,,,
864,,,,,
869,,,,,
874,,,,,
879,,,,,
884,,,,,
889,,,,,
894,,,,,
899,,,,,
904,,,,,
909,,,,,
914,,,,,
919,,,,,
924,,,,,
929,,,,,
934,,,,,
939,,,,,
944,,,,,
949,,,,,
954,,,,,
959,,,,,
964,,,,,
969,,,,,
974,,,,,
979,,,,,
984,,,,,
989,,,,,
994,,,,,
999,,,,,
1004,,,,,
1009,,,,,
1014,,,,,
1019,,,,,
1024,,,,,
1029,,,,,
1034,,,,,
1039,,,,,
1044,,,,,
1049,,,,,
1054,,,,,
1059,,,,,
1064,,,,,
1069,,,,,
1074,,,,,
1079,,,,,
1084,,,,,
1089,,,,,
1094,,,,,
1099,,,,,
1104,,,,,
1109,,,,,
1114,,,,,
1119,,,,,
1124,,,,,
1129,,,,,
1134,,,,,
1139,,,,,
1144,,,,,
1149,,,,,
1154,,,,,
1159,,,,,
1164,,,,,
1169,,,,,
1174,,,,,
1179,,,,,
5,,,,,
12,,,,,
20,,,,,
27,,,,,
35,,,,,
42,,,,,
50,,,,,
57,,,,,
65,,,,,
72,,,,,
80,,,,,
87,,,,,
95,,,,,
102,,,,,
110,,,,,
117,,,,,
125,,,,,
132,,,,,
140,,,,,
147,,,,,
155,,,,,
162,,,,,
170,,,,,
177,,,,,
185,,,,,
192,,,,,
200,,,,,
207,,,,,
215,,,,,
222,,,,,
230,,,,,
237,,,,,
245,,,,,
252,,,,,
260,,,,,
267,,,,,
275,,,,,
282,,,,,
290,,,,,
297,,,,,
305,,,,,
312,,,,,
320,,,,,
327,,,,,
335,,,,,
342,,,,,
350,,,,,
357,,,,,
365,,,,,
372,,,,,
380,,,,,
387,,,,,
395,,,,,
402,,,,,
410,,,,,
417,,,,,
425,,,,,
432,,,,,
440,,,,,
447,,,,,
455,,,,,
462,,,,,
470,,,,,
477,,,,,
485,,,,,
492,,,,,
500,,,,,
507,,,,,
515,,,,,
522,,,,,
530,,,,,
537,,,,,
545,,,,,
552,,,,,
560,,,,,
567,,,,,
575,,,,,
582,,,,,
590,,,,,
597,,,,,
605,,,,,
612,,,,,
620,,,,,
627,,,,,
635,,,,,
642,,,,,
650,,,,,
657,,,,,
665,,,,,
672,,,,,
680,,,,,
687,,,,,
695,,,,,
702,,,,,
710,,,,,
717,,,,,
725,,,,,
732,,,,,
740,,,,,
747,,,,,
755,,,,,
762,,,,,
770,,,,,
777,,,,,
785,,,,,
792,,,,,
800,,,,,
807,,,,,
815,,,,,
822,,,,,
830,,,,,
837,,,,,
845,,,,,
852,,,,,
860,,,,,
867,,,,,
875,,,,,
882,,,,,
890,,,,,
897,,,,,
905,,,,,
912,,,,,
920,,,,,
927,,,,,
935,,,,,
942,,,,,
950,,,,,
957,,,,,
965,,,,,
972,,,,,
980,,,,,
987,,,,,
995,,,,,
1002,,,,,
1010,,,,,
1017,,,,,
1025,,,,,
1032,,,,,
1040,,,,,
1047,,,,,
1055,,,,,
1062,,,,,
1070,,,,,
1077,,,,,
1085,,,,,
1092,,,,,
1100,,,,,
1107,,,,,
1115,,,,,
1122,,,,,
1130,,,,,
1137,,,,,
1145,,,,,
1152,,,,,
1160,,,,,
1167,,,,,
1175,,,,,
